Origin	Bearing	OperatingCondition	TestNumber	TestIdx	Hour	Minute	Second	Mili/centisecond	Mean	Standard Deviation	RMS	Peak	Peak-to-Peak	Skewness	Kurtosis	Crest Factor	Form Factor	Impulse Factor	Margin Factor	Total Energy	Max Power Frequency	Spectral Centroid	Spectral Bandwidth	Spectral Flatness	Spectral Roll-off	BPFO_max	BPFO_rms	BPFI_max	BPFI_rms	BSF_max	BSF_rms	Timestamp	Duration	Actual_RUL	RUL	Alive
Full_Test_Set	Bearing2_4	2	4	00001	8	3	36	462540.0	0.00655234375	0.3412015378740721	0.34126444680958196	1.142	2.272	0.051279911802515274	0.03318581955286515	3.346378477677198	1.2601684536075841	4.217000591400176	0.8822530498729768	149.12863213515624	3610.0	3264.1839455510776	1913.9567104328391	-7.961652811578286	4520.0	4.478474126403742	3.4624820528360214	2.702957191287308	2.4556525355550263	15.180564104888223	13.488451355458677	2000-01-01 08:03:36	0.0	1390	1390.0	True
Full_Test_Set	Bearing2_4	2	4	00002	8	3	46	462540.0	0.001299218750000001	0.31822892629464034	0.31823157841421085	1.098	2.178	0.07541504560739355	0.015627509915170812	3.450317550104475	1.250507066652514	4.314646478600835	0.9080617948443374	129.63234660390623	3540.0	3435.415091567419	2069.8693382254673	-7.217908320425911	5160.0	6.817577776017349	5.925823093555423	5.629764545603575	4.592479252310157	18.305801281365806	13.007734086122712	2000-01-01 08:03:46	10.0	1390	1380.0	True
Full_Test_Set	Bearing2_4	2	4	00003	8	3	56	462540.0	0.0032710937499999975	0.3267950319610577	0.3268114027520307	1.247	2.333	0.06237988509664963	0.20836955485529574	3.815656337261175	1.266538279130446	4.83267481114795	1.0069279776812827	136.72537468203123	3520.0	3187.168391445316	2064.43063193957	-7.6335583073053925	4790.0	4.653304339048391	3.9387647400977794	6.103560753950932	4.583217957064427	9.434037476249065	8.430699112037248	2000-01-01 08:03:56	20.0	1390	1370.0	True
Full_Test_Set	Bearing2_4	2	4	00004	8	4	6	462540.0	0.0032632812499999997	0.3472316592913633	0.34724699310253215	1.147	2.1790000000000003	0.002695437009026348	-0.17768718850232457	3.30312435466165	1.2377779264679836	4.088534414578994	0.8674702129535862	154.3615557578125	3590.0	3586.6238728520543	2018.8033404709806	-7.532385508418756	5260.0	3.219245639548995	2.6527215131242383	6.837216863589798	6.077245895143076	13.57869050859425	10.908140535746817	2000-01-01 08:04:06	30.0	1390	1360.0	True
Full_Test_Set	Bearing2_4	2	4	00005	8	4	16	462540.0	0.004246484374999998	0.3512197526280062	0.3512454231240957	1.572	2.8600000000000003	-0.021161111128406653	0.3186890292605855	4.475503156790201	1.2685760685729675	5.677516199526818	1.1814743926786138	157.94101847070317	3540.0	3380.191128443057	1928.7365485722667	-8.28470697520941	4760.0	3.8068208202382054	3.710251917818164	8.133537546848533	6.903766236814133	12.933753800780286	9.514290579368643	2000-01-01 08:04:16	40.0	1390	1350.0	True
Full_Test_Set	Bearing2_4	2	4	00006	8	4	26	462540.0	-0.003368359375000002	0.29933941962176625	0.29935837049325176	1.024	2.002	0.029208429553637838	-0.04925769414244208	3.4206492984069854	1.2544625243904117	4.291076353933918	0.9008905778077572	114.72313705039063	3520.0	3438.6369792792125	2150.2816530830514	-7.241019736167135	5190.0	2.3033528392401927	1.761045338836076	4.494204007185109	3.5240728452115215	20.72079172075729	16.292785505396512	2000-01-01 08:04:26	50.0	1390	1340.0	True
Full_Test_Set	Bearing2_4	2	4	00007	8	4	36	462540.0	0.0053703125	0.32860280387179036	0.32864668409821207	1.388	2.509	-0.13706699886357773	0.2141387607027614	4.223380509097767	1.2590960142402539	5.317641565624973	1.1132263656414287	138.28798471640624	3620.0	3511.310894827299	2079.339574927848	-7.239629585729497	5380.0	4.552735965658905	3.9067021828671877	4.843884012223059	3.5497607585549678	26.40598246343309	18.98564613031274	2000-01-01 08:04:36	60.0	1390	1330.0	True
Full_Test_Set	Bearing2_4	2	4	00008	8	4	46	462540.0	0.0006652343750000005	0.32708744178369387	0.32708811826383266	1.441	2.5250000000000004	-0.06698187184983234	0.11103139101121595	4.4055406465045435	1.254144055841662	5.525182614582507	1.1601617509571662	136.94395137851564	3560.0	3489.6438781986435	2076.764605241708	-7.366823526483507	5260.0	4.143936887439223	3.787507793514601	6.514368137659994	5.775185696414046	12.232860273471411	12.12863682922752	2000-01-01 08:04:46	70.0	1390	1320.0	True
Full_Test_Set	Bearing2_4	2	4	00009	8	4	56	462540.0	-0.00109453125	0.3585207799522822	0.3585224507004408	1.28	2.435	-0.027102675709197638	-0.15875670923930052	3.5702087763242725	1.2451837537588537	4.445565965806261	0.9387676455417023	164.53076423828125	3390.0	3334.3005751527194	1993.0421774245788	-7.9949760485266905	4930.0	7.73234632623651	5.892233343686183	9.451900608237558	6.789990455516726	22.75706604447971	21.480579043239164	2000-01-01 08:04:56	80.0	1390	1310.0	True
Full_Test_Set	Bearing2_4	2	4	00010	8	5	6	462540.0	0.006052343749999997	0.3281716770287799	0.32822748280537084	1.658	2.706	-0.146228827109787	0.39028825219923746	5.051374692420698	1.272600316205669	6.428381030847893	1.334477559480316	137.95226691015628	3560.0	3482.3070879283173	2059.181387367691	-7.5048817591866275	5240.0	2.9975504519194813	2.5294430317891594	4.450160513197036	3.493371069498719	21.526726018072615	17.975077677933925	2000-01-01 08:05:06	90.0	1390	1300.0	True
